Action,Timestamp,Price,BTC Balance,USD Balance,Position Size,Stop Loss
Buy,2022-08-01 00:10:00,23281.41,0.42952724942346704,0.0,0.2639318301787184,23186.68857142857
Sell,2022-08-01 03:25:00,23325.47,0.0,10018.924970609598,0.2639318301787184,0.0
Buy,2022-08-01 04:20:00,23402.71,0.4281096065630689,0.0,0.3458896899249002,23330.34857142857
Sell,2022-08-01 05:20:00,23351.49,0.0,9996.997196561439,0.3458896899249002,0.0
Buy,2022-08-01 08:10:00,23324.93,0.4285970931771902,0.0,0.2421542235463172,23221.752857142856
Sell,2022-08-01 10:15:00,23282.91,0.0,9978.987546706134,0.2421542235463172,0.0
Buy,2022-08-01 12:35:00,23231.17,0.42955165610281937,0.0,0.2076385699584146,23110.964285714283
Sell,2022-08-01 12:40:00,23176.24,0.0,9955.392274236407,0.2076385699584146,0.0
Buy,2022-08-01 14:00:00,23317.24,0.42695414526918307,0.0,0.12230329911450076,23113.395714285714
Sell,2022-08-01 16:15:00,23181.65,0.0,9897.501561679359,0.12230329911450076,0.0
Buy,2022-08-01 20:55:00,23118.88,0.42811336715616666,0.0,0.20477133647585433,22997.332857142857
Sell,2022-08-01 22:00:00,22961.02,0.0,9829.919585540087,0.20477133647585433,0.0
Buy,2022-08-01 22:35:00,23078.15,0.42594053620156236,0.0,0.22073353987107927,22965.758571428574
Sell,2022-08-02 01:25:00,23157.37,0.0,9863.662594817974,0.22073353987107927,0.0
Buy,2022-08-02 10:55:00,22858.17,0.4315158472798992,0.0,0.22714217329012484,22748.757142857143
Sell,2022-08-02 12:35:00,22786.4,0.0,9832.692702458697,0.22714217329012484,0.0
Buy,2022-08-02 14:25:00,23076.65,0.42608839248585456,0.0,0.1138165456791904,22858.65428571429
Sell,2022-08-02 14:30:00,22740.97,0.0,9689.663350869045,0.1138165456791904,0.0
Buy,2022-08-02 14:35:00,22874.5,0.42360109951557606,0.0,0.0848784704756959,22583.307142857142
Sell,2022-08-02 18:50:00,23013.08,0.0,9748.365991239914,0.0848784704756959,0.0
Buy,2022-08-02 21:55:00,23093.38,0.42212815929239955,0.0,0.21267557223324166,22977.027142857143
Sell,2022-08-02 23:25:00,23027.06,0.0,9720.370451715642,0.21267557223324166,0.0
Buy,2022-08-03 04:05:00,22849.94,0.42540026151997085,0.0,0.26536219880594014,22756.821428571428
Sell,2022-08-03 05:05:00,22815.51,0.0,9705.723920711509,0.26536219880594014,0.0
Buy,2022-08-03 05:20:00,22872.93,0.4243323404877079,0.0,0.33946442471338417,22800.205714285716
Sell,2022-08-03 12:55:00,23264.69,0.0,9871.960358420973,0.33946442471338417,0.0
Buy,2022-08-03 14:05:00,23397.0,0.4219327417370164,0.0,0.17728538085393244,23255.87285714286
Sell,2022-08-03 14:30:00,23311.4,0.0,9835.842915728284,0.17728538085393244,0.0
Buy,2022-08-03 15:35:00,23375.63,0.42077338303730355,0.0,0.19683360691475088,23248.71142857143
Sell,2022-08-03 16:05:00,23280.36,0.0,9795.75583552632,0.19683360691475088,0.0
Buy,2022-08-03 16:25:00,23372.54,0.4191138761780414,0.0,0.24638592287200195,23271.337142857144
Sell,2022-08-03 20:10:00,23386.54,0.0,9801.623429792813,0.24638592287200195,0.0
Buy,2022-08-04 01:10:00,23070.26,0.424859686444488,0.0,0.20972323588022893,22951.324285714283
Sell,2022-08-04 03:45:00,23067.41,0.0,9800.412579686446,0.20972323588022893,0.0
Buy,2022-08-04 04:05:00,23127.56,0.4237547142753687,0.0,0.26474990535687454,23033.350000000002
Sell,2022-08-04 05:10:00,23078.26,0.0,9779.52147227267,0.26474990535687454,0.0
Buy,2022-08-04 05:50:00,23119.27,0.4230030391215929,0.0,0.34099189812232616,23046.22
Sell,2022-08-04 06:15:00,22923.5,0.0,9696.710167303836,0.34099189812232616,0.0
Buy,2022-08-04 12:00:00,22940.23,0.4226945487165489,0.0,0.26385237711630277,22846.455714285716
Sell,2022-08-04 12:05:00,22853.42,0.0,9660.016053529751,0.26385237711630277,0.0
Buy,2022-08-04 12:55:00,22895.8,0.42191214342935174,0.0,0.19389048535325762,22768.484285714287
Sell,2022-08-04 13:00:00,22861.89,0.0,9645.709012746061,0.19389048535325762,0.0
Buy,2022-08-04 13:10:00,22937.11,0.4205285239834513,0.0,0.19185831897161848,22808.53142857143
Sell,2022-08-04 14:35:00,22802.99,0.0,9589.3077271094,0.19185831897161848,0.0
Buy,2022-08-04 16:10:00,22939.22,0.41803111557888195,0.0,0.19090833138981017,22810.338571428572
Sell,2022-08-04 16:35:00,22864.05,0.0,9557.884328151336,0.19090833138981017,0.0
Buy,2022-08-04 22:40:00,22592.41,0.4230573156272986,0.0,0.2681248389397117,22500.77857142857
Sell,2022-08-05 08:30:00,23142.81,0.0,9790.735074672602,0.2681248389397117,0.0
Buy,2022-08-05 10:30:00,23196.92,0.4220704763680956,0.0,0.3637567205846713,23128.364285714284
Sell,2022-08-05 12:45:00,22944.23,0.0,9684.082085999149,0.3637567205846713,0.0
Buy,2022-08-05 14:15:00,23302.14,0.4155876707460838,0.0,0.15750929197056343,23145.274285714284
Sell,2022-08-05 15:15:00,23107.04,0.0,9603.000931436589,0.15750929197056343,0.0
Buy,2022-08-05 20:35:00,22948.94,0.4184507402710796,0.0,0.2654486737195913,22856.149999999998
Sell,2022-08-06 03:15:00,23192.72,0.0,9705.010852899873,0.2654486737195913,0.0
Buy,2022-08-06 07:45:00,23224.69,0.41787472094998357,0.0,0.4489350739833471,23169.464285714286
